lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
139;27,77884;51,84;1015,57;46,93;2759,18;5,954139
140;27,94567;null;null;null;null;5,997023
141;28,11478;null;null;null;null;5,910822
142;28,29082;50,60;1015,57;45,30;2759,18;5,681137
143;28,47447;null;null;null;null;5,44343
144;28,64323;50,48;1015,57;47,23;2766,05;5,928976
145;28,81174;null;null;null;null;5,936099
146;28,9834;null;null;null;null;5,823939
147;29,14975;52,70;1015,57;38,43;2766,05;6,005476
148;29,31871;null;null;null;null;5,923683
149;29,48236;null;null;null;null;6,112032
150;29,65088;53,23;1015,57;45,39;2766,05;5,926242
151;29,82594;null;null;null;null;5,713081
152;30,01289;null;null;null;null;5,351712
153;30,21166;51,64;1015,57;45,66;2766,05;5,033921
154;30,38901;null;null;null;null;5,6311
155;30,55674;null;null;null;null;5,96176
156;30,71226;53,50;1015,57;39,38;2766,05;6,434522
157;30,87569;null;null;null;null;6,11396
158;31,03354;null;null;null;null;6,345891
159;31,19941;55,47;1015,57;32,34;2766,05;6,027146
160;31,36409;null;null;null;null;6,079197
161;31,51582;null;null;null;null;6,571442
162;31,68884;48,92;1015,57;42,14;2788,97;5,785276
163;31,84936;null;null;null;null;6,223306
164;32,00861;null;null;null;null;6,279994
165;32,17019;48,15;1015,57;48,02;2789,97;6,188713
166;32,3356;null;null;null;null;6,049596
167;32,49441;null;null;null;null;6,295897
168;32,65815;48,68;1015,57;49,35;2790,93;6,104585
169;32,82187;null;null;null;null;6,110841
170;32,99878;null;null;null;null;5,654861
171;33,16513;49,87;1015,57;38,02;2792,88;6,013931
172;33,32912;null;null;null;null;6,095888
173;33,48953;null;null;null;null;6,232817
174;33,6495;50,38;1015,57;40,59;2792,88;6,245456
175;33,8131;null;null;null;null;6,136577
176;33,97708;null;null;null;null;6,074161
177;34,14389;50,73;1015,57;47,77;2794,84;6,001997
178;34,30631;null;null;null;null;6,152468
179;34,47709;null;null;null;null;5,856752
180;34,64252;50,84;1015,57;48,93;2796,84;6,046231
181;34,80286;null;null;null;null;6,230161
182;34,96701;null;null;null;null;6,094488
183;35,1324;53,34;1015,57;49,91;2801,32;6,045715
184;35,30016;null;null;null;null;5,964729
185;35,47147;null;null;null;null;5,833105
186;35,64194;51,44;1015,57;50,55;2844,37;5,870219
187;35,82028;null;null;null;null;5,604869
188;36,06144;null;null;null;null;4,153737
189;36,29219;50,97;1015,57;52,26;3101,66;4,331371
190;36,47346;null;null;null;null;5,508856
191;36,6511;44,83;1015,57;58,01;3101,70;5,63446
192;36,8401;null;null;null;null;5,291159
193;37,03366;null;null;null;null;5,167093
194;37,22797;53,78;1015,57;69,54;3101,70;5,148469
195;37,42174;null;null;null;null;5,156125
196;37,59851;null;null;null;null;5,658848
197;37,7731;58,55;1015,57;47,50;3101,70;5,72173
198;37,95393;null;null;null;null;5,530756
199;38,1257;54,01;1015,57;56,58;3101,70;5,824044
200;38,30986;null;null;null;null;5,429159
201;38,49724;null;null;null;null;5,340109
202;38,66892;54,55;1015,57;54,37;3102,66;5,823111
203;38,84539;null;null;null;null;5,667601
204;39,02862;null;null;null;null;5,455204
205;39,20943;54,79;1015,57;42,73;3102,70;5,531279
206;39,3879;null;null;null;null;5,601516
207;39,56821;null;null;null;null;5,54801
208;39,74654;55,55;1015,57;42,00;3103,66;5,616614
209;39,92997;null;null;null;null;5,449954
210;40,10183;null;null;null;null;5,812193
211;40,28934;49,40;1015,57;44,75;3104,62;5,330709
212;40,49531;null;null;null;null;4,861782
213;40,67487;54,23;1015,57;38,60;3104,62;5,565976
214;40,86973;null;null;null;null;5,128481
215;41,04533;null;null;null;null;5,70195
216;41,21799;55,08;1015,57;44,54;3104,62;5,800407
217;41,98077;null;null;null;null;3
218;42,15689;52,20;1015,57;50,34;3980,20;5,637661
219;42,33499;null;null;null;null;5,611342
220;42,50836;null;null;null;null;5,767418
221;42,6818;55,43;1015,57;203,87;3994,30;5,769182
222;42,85719;null;null;null;null;5,699441
223;43,03532;null;null;null;null;5,612271
224;43,22404;48,14;1015,57;50,54;4004,99;5,299288
225;43,41324;null;null;null;null;5,289021
226;43,60145;54,39;1015,57;53,48;4023,00;5,309992
227;43,77471;null;null;null;null;5,772992
228;43,95071;null;null;null;null;5,683
229;44,13482;55,70;1015,57;38,97;4039,10;5,431807
230;44,30879;null;null;null;null;5,744931
231;44,4864;null;null;null;null;5,63026
232;44,66383;54,70;1015,57;53,58;4053,04;5,640804
233;44,87104;null;null;null;null;4,837569
234;45,03859;null;null;null;null;5,943989
235;45,20527;48,07;1015,57;48,71;4077,04;5,998221
236;45,3805;null;null;null;null;5,709627
237;45,56347;54,61;1015,57;45,10;4077,04;5,466724
