lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
1;388.72;3.15418;868.344;0;0.0234375;0.693445
2;388.982;73.2318;963.52;0;103.602;4.01703
3;389.162;54.2981;1065.72;0;156.758;5.6707
4;389.295;48.8723;1098.91;511.325;1311.05;6.82714
5;389.525;74.7356;1108.25;29.1115;1376.73;4.33434
6;389.62;21.781;1115.12;31.7908;1376.73;11.6379
7;389.717;25.4159;1134.55;32.1635;1376.73;10.3613
8;389.804;26.7914;1138.56;33.4419;1389.62;11.0503
9;389.891;25.9185;1146.85;34.6955;1376.73;11.4159
10;389.981;22.4215;1153.75;31.9222;1376.73;11.7831
11;390.07;24.1519;1159.22;31.6577;1362.34;11.3957
12;390.165;26.039;1162.25;34.6582;1376.73;10.4924
13;390.263;22.5463;1166.52;35.7636;1376.73;10.2074
14;390.36;24.0503;1172.61;32.3462;1376.73;9.99004
15;390.453;22.2192;1174.7;31.1368;1376.73;10.6097
16;390.543;23.0421;1171.83;33.3793;1376.73;11.002
17;390.632;23.2099;1176.8;34.7236;1376.73;11.0352
18;390.725;21.291;1180.77;31.7339;1376.73;10.9448
19;390.816;20.7942;1182.51;31.2131;1376.73;11.2109
20;390.91;21.0535;1182.86;32.8339;1376.73;10.5369
21;391.004;22.6417;1185.91;34.8777;1376.73;10.4044
22;391.09;23.9745;1186.05;31.679;1376.73;11.4389
23;391.175;23.6242;1186.56;30.8931;1376.73;11.733
24;391.259;22.8079;1188.18;32.7408;1376.73;12.0786
25;391.352;24.7448;1191.15;34.3441;1376.73;10.9325
26;391.456;20.6701;1190.95;36.9232;1376.73;10.6614
27;391.544;24.8475;1191.34;36.9232;1376.73;10.0971
28;391.628;23.8443;1192.22;33.4427;1328.93;11.8751
29;391.724;24.0426;1191.6;34.0801;1376.73;10.1407
30;391.812;23.5195;1192.03;32.7515;1376.73;11.9795
31;391.896;25.0833;1192.3;31.6625;1376.73;11.4477
32;391.978;24.436;1191.75;32.8004;1376.73;11.998
33;392.064;23.5191;1191.32;34.1259;1376.73;12.3598
34;392.151;26.2883;1192.25;31.3672;1376.73;10.9121
35;392.237;26.8218;1191.32;31.7777;1376.73;11.6949
36;392.317;23.7527;1190.85;33.1433;1376.73;13.0495
37;392.404;27.3096;1191.6;34.2528;1376.73;11.0184
38;392.484;24.5295;1192.22;31.668;1376.73;12.7421
39;392.576;25.9357;1193.21;31.5102;1376.73;10.8374
40;392.671;25.6965;1193.36;33.6563;1376.73;11.1671
41;392.747;28.5837;1193.52;33.9596;1376.73;11.8696
42;392.823;25.1362;1193.73;31.3436;1376.73;13.2342
43;392.901;26.9732;1193.33;30.9472;1376.73;12.6362
44;392.982;26.0164;1193.7;33.3043;1376.73;12.4711
45;393.059;26.2209;1193.91;34.5641;1376.73;12.8557
46;393.134;25.3871;1193.81;31.523;1376.73;13.4059
47;393.208;25.9687;1194.13;30.6942;1376.73;13.0485
48;393.286;26.683;1194.21;32.5892;1376.73;12.7602
49;393.362;24.792;1194.85;34.7904;1376.73;13.6873
50;393.446;28.1419;1193.93;32.0668;1376.73;11.9537
51;393.527;24.6488;1194.11;31.1286;1376.73;12.5501
52;393.612;25.7678;1194.57;32.7524;1376.73;11.8971
