lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
1;141.964;7.98555;895.715;0;0.0234375;0.769045
2;142.13;38.2625;976.41;0;134.609;6.07582
3;142.323;48.6094;1030.32;275.527;31.3672;5.35074
4;142.493;48.6621;1061.54;19.7925;754.812;5.65641
5;142.599;30.4358;1039.68;16.7625;808.828;9.38313
6;142.7;28.3399;1041.17;16.6958;847.203;10.148
7;142.799;29.3775;1042.58;17.0476;750.344;9.81403
8;142.904;29.1127;1044.84;17.1724;761.516;9.73128
9;143.004;28.9056;1045.99;17.0799;856.312;9.87586
10;143.101;29.3819;1046.7;16.3126;824.984;10.4305
11;143.194;30.4056;1045.32;16.6587;692.031;10.2987
12;143.294;31.615;1050.46;16.4799;830.828;10.1302
13;143.386;28.8519;1052.91;16.9959;826.359;11.0826
14;143.483;30.0287;1053.5;16.8619;718.031;10.0001
15;143.585;31.0717;1055.83;17.1704;799.352;10.0485
16;143.683;30.963;1053.57;16.9155;737.797;9.96732
17;143.781;31.1347;1055.2;16.2787;774.281;10.1639
18;143.88;29.1327;1055.65;16.2792;833.969;10.5575
19;143.974;31.5487;1055.96;16.3877;741.922;10.0352
20;144.072;30.8072;1058.57;14.7507;758.594;10.3966
21;144.172;30.9417;1058.52;16.8767;844.969;10.3042
22;144.268;31.1962;1057.69;17.014;749.312;10.2464
23;144.366;31.3929;1057.85;16.9518;801.438;10.2063
24;144.464;30.6687;1056.85;17.8303;785.43;10.1849
25;144.565;31.2928;1056.79;18.173;869.031;10.1682
26;144.671;29.361;1056.55;17.8262;973.453;9.99135
27;144.761;28.1317;1057.14;15.8787;816.734;10.4306
28;144.862;27.6952;1058.58;15.8041;871.438;10.0481
29;144.959;27.2774;1058.66;15.7289;904.141;10.2514
30;145.052;27.7495;1059.26;20.7638;772.047;10.4681
31;145.146;30.5049;1059.27;20.744;703.375;10.3226
32;145.25;31.8664;1059.71;20.9796;803.672;9.9747
33;145.347;31.4699;1059.93;21.1695;813.984;10.2192
34;145.444;29.5908;1059.95;20.6571;862.156;10.5797
35;145.538;30.5971;1059.55;21.1846;806.766;10.3844
36;145.634;31.3184;1060.01;22.3531;751.719;10.223
37;145.734;30.8721;1060.88;21.6842;886.219;10.2322
38;145.824;29.293;1061.18;22.172;762.031;11.0109
39;145.921;30.9661;1060.8;22.3956;850.125;10.2771
40;146.018;31.6935;1059.3;22.9278;778.922;10.1581
41;146.115;30.811;1059.65;22.5981;818.453;10.4349
42;146.209;31.1738;1059.95;22.2333;762.203;10.3358
43;146.308;31.0941;1059.92;22.3726;790.266;10.3116
44;146.405;31.4452;1060.2;22.5404;718.203;10.138
45;146.506;30.6196;1061.97;22.4873;809.516;10.2486
46;146.606;32.1396;1060.73;23.7816;884.156;10.0467
47;146.699;29.7274;1060.36;22.4384;858.547;10.7523
48;146.799;28.6291;1060.37;25.8926;880.719;10.1557
49;146.895;27.3807;1060.43;30.2958;868;10.5357
50;146.995;29.4542;1060.77;25.1404;814.672;9.76109
